Date,open,high,low,close,volume,adj close
2024-05-24 00:00:00,10.234,10.342,10.201,10.238,136035.18,1716509699999.0
2024-05-24 00:15:00,10.237,10.264,10.205,10.229,39778.1,1716510599999.0
2024-05-24 00:30:00,10.229,10.291,10.222,10.265,30801.89,1716511499999.0
2024-05-24 00:45:00,10.265,10.293,10.243,10.273,45102.33,1716512399999.0
2024-05-24 01:00:00,10.272,10.272,10.192,10.239,48385.04,1716513299999.0
2024-05-24 01:15:00,10.24,10.258,10.22,10.252,37207.67,1716514199999.0
2024-05-24 01:30:00,10.253,10.305,10.247,10.287,34463.06,1716515099999.0
2024-05-24 01:45:00,10.287,10.316,10.255,10.256,32994.7,1716515999999.0
2024-05-24 02:00:00,10.256,10.286,10.251,10.268,23921.85,1716516899999.0
2024-05-24 02:15:00,10.265,10.319,10.229,10.244,75438.56,1716517799999.0
2024-05-24 02:30:00,10.244,10.256,10.213,10.215,22584.91,1716518699999.0
2024-05-24 02:45:00,10.217,10.292,10.217,10.259,50409.35,1716519599999.0
2024-05-24 03:00:00,10.259,10.269,10.209,10.268,25113.77,1716520499999.0
2024-05-24 03:15:00,10.267,10.271,10.224,10.241,21327.43,1716521399999.0
2024-05-24 03:30:00,10.24,10.242,10.212,10.221,37218.99,1716522299999.0
2024-05-24 03:45:00,10.221,10.242,10.211,10.222,24396.79,1716523199999.0
2024-05-24 04:00:00,10.222,10.25,10.215,10.242,23022.58,1716524099999.0
2024-05-24 04:15:00,10.241,10.243,10.193,10.198,25969.84,1716524999999.0
2024-05-24 04:30:00,10.196,10.215,10.167,10.188,25387.34,1716525899999.0
2024-05-24 04:45:00,10.187,10.191,10.108,10.115,89120.15,1716526799999.0
2024-05-24 05:00:00,10.113,10.114,10.073,10.114,44949.41,1716527699999.0
2024-05-24 05:15:00,10.115,10.121,10.053,10.099,50920.22,1716528599999.0
2024-05-24 05:30:00,10.104,10.104,9.984,10.002,85518.53,1716529499999.0
2024-05-24 05:45:00,10.002,10.071,10.0,10.011,68811.97,1716530399999.0
2024-05-24 06:00:00,10.01,10.09,9.988,10.089,69458.31,1716531299999.0
2024-05-24 06:15:00,10.09,10.09,9.952,9.971,62088.15,1716532199999.0
2024-05-24 06:30:00,9.972,9.991,9.904,9.926,106806.2,1716533099999.0
2024-05-24 06:45:00,9.926,9.948,9.88,9.887,108277.45,1716533999999.0
2024-05-24 07:00:00,9.886,9.917,9.828,9.916,108384.07,1716534899999.0
2024-05-24 07:15:00,9.916,9.97,9.909,9.96,55583.32,1716535799999.0
2024-05-24 07:30:00,9.962,9.966,9.91,9.912,46785.46,1716536699999.0
2024-05-24 07:45:00,9.91,9.969,9.908,9.952,33901.09,1716537599999.0
2024-05-24 08:00:00,9.95,9.979,9.873,9.88,44204.89,1716538499999.0
2024-05-24 08:15:00,9.881,9.883,9.75,9.791,175794.37,1716539399999.0
2024-05-24 08:30:00,9.791,9.927,9.788,9.917,62256.47,1716540299999.0
2024-05-24 08:45:00,9.916,9.951,9.88,9.941,75321.16,1716541199999.0
2024-05-24 09:00:00,9.942,9.975,9.929,9.956,44967.29,1716542099999.0
2024-05-24 09:15:00,9.955,9.975,9.891,9.913,40981.69,1716542999999.0
2024-05-24 09:30:00,9.914,9.973,9.884,9.962,86851.59,1716543899999.0
2024-05-24 09:45:00,9.961,10.027,9.943,10.023,46294.45,1716544799999.0
2024-05-24 10:00:00,10.023,10.065,9.981,9.996,50268.9,1716545699999.0
2024-05-24 10:15:00,9.995,10.054,9.987,10.053,41750.16,1716546599999.0
2024-05-24 10:30:00,10.051,10.144,10.035,10.131,143206.84,1716547499999.0
2024-05-24 10:45:00,10.132,10.17,10.098,10.107,172603.61,1716548399999.0
2024-05-24 11:00:00,10.106,10.137,10.077,10.111,72168.81,1716549299999.0
2024-05-24 11:15:00,10.111,10.13,10.097,10.121,30789.66,1716550199999.0
2024-05-24 11:30:00,10.12,10.12,10.088,10.1,27685.5,1716551099999.0
2024-05-24 11:45:00,10.1,10.175,10.1,10.13,51158.98,1716551999999.0
2024-05-24 12:00:00,10.129,10.13,10.086,10.124,29283.39,1716552899999.0
2024-05-24 12:15:00,10.127,10.14,10.085,10.09,43955.39,1716553799999.0
2024-05-24 12:30:00,10.085,10.106,10.059,10.074,30106.54,1716554699999.0
2024-05-24 12:45:00,10.073,10.114,10.059,10.1,38970.87,1716555599999.0
2024-05-24 13:00:00,10.1,10.101,10.037,10.049,53772.47,1716556499999.0
2024-05-24 13:15:00,10.051,10.093,10.036,10.063,43955.26,1716557399999.0
2024-05-24 13:30:00,10.061,10.064,10.002,10.056,55975.47,1716558299999.0
2024-05-24 13:45:00,10.057,10.073,9.953,9.982,60869.71,1716559199999.0
2024-05-24 14:00:00,9.982,10.041,9.973,10.029,67779.41,1716560099999.0
2024-05-24 14:15:00,10.029,10.131,10.02,10.094,58962.16,1716560999999.0
2024-05-24 14:30:00,10.095,10.153,10.069,10.125,103046.91,1716561899999.0
2024-05-24 14:45:00,10.125,10.145,10.091,10.108,58289.57,1716562799999.0
2024-05-24 15:00:00,10.108,10.198,10.095,10.156,86848.4,1716563699999.0
2024-05-24 15:15:00,10.157,10.2,10.104,10.108,109018.68,1716564599999.0
2024-05-24 15:30:00,10.109,10.139,10.065,10.068,85258.28,1716565499999.0
2024-05-24 15:45:00,10.068,10.081,10.007,10.068,101329.35,1716566399999.0
2024-05-24 16:00:00,10.068,10.068,10.005,10.009,56174.66,1716567299999.0
2024-05-24 16:15:00,10.01,10.03,9.97,10.008,41800.47,1716568199999.0
2024-05-24 16:30:00,10.009,10.03,9.999,10.015,29947.14,1716569099999.0
2024-05-24 16:45:00,10.009,10.053,10.004,10.036,27365.05,1716569999999.0
2024-05-24 17:00:00,10.035,10.101,10.03,10.046,98099.32,1716570899999.0
2024-05-24 17:15:00,10.046,10.075,10.008,10.02,62889.08,1716571799999.0
2024-05-24 17:30:00,10.02,10.083,10.016,10.053,45856.6,1716572699999.0
2024-05-24 17:45:00,10.054,10.094,10.044,10.089,31722.23,1716573599999.0
2024-05-24 18:00:00,10.088,10.162,10.069,10.144,95540.96,1716574499999.0
2024-05-24 18:15:00,10.143,10.174,10.115,10.119,51365.62,1716575399999.0
2024-05-24 18:30:00,10.117,10.143,10.09,10.114,58492.93,1716576299999.0
2024-05-24 18:45:00,10.113,10.127,10.092,10.113,17884.93,1716577199999.0
2024-05-24 19:00:00,10.112,10.121,10.078,10.095,27689.9,1716578099999.0
2024-05-24 19:15:00,10.096,10.133,10.095,10.106,13901.6,1716578999999.0
2024-05-24 19:30:00,10.105,10.128,10.085,10.109,15360.56,1716579899999.0
2024-05-24 19:45:00,10.109,10.131,10.106,10.129,22673.84,1716580799999.0
2024-05-24 20:00:00,10.124,10.156,10.121,10.144,96548.95,1716581699999.0
2024-05-24 20:15:00,10.144,10.151,10.124,10.13,55000.52,1716582599999.0
2024-05-24 20:30:00,10.127,10.178,10.094,10.152,121320.09,1716583499999.0
2024-05-24 20:45:00,10.152,10.162,10.124,10.147,28595.41,1716584399999.0
2024-05-24 21:00:00,10.146,10.162,10.098,10.099,24212.72,1716585299999.0
2024-05-24 21:15:00,10.099,10.158,10.097,10.11,65371.01,1716586199999.0
2024-05-24 21:30:00,10.11,10.15,10.107,10.135,19030.17,1716587099999.0
2024-05-24 21:45:00,10.136,10.136,10.109,10.115,12564.3,1716587999999.0
