open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-01-01,7195.24,7255.0,7175.15,7200.85,16792.388165,1577923199999.0,121214452.11606228,194010.0,8946.955535,64597785.21233434,0.0
2020-01-02,7200.77,7212.5,6924.74,6965.71,31951.483932,1578009599999.0,225982341.3011403,302667.0,15141.61134,107060829.07806464,0.0
2020-01-03,6965.49,7405.0,6871.04,7344.96,68428.500451,1578095999999.0,495098582.9620354,519854.0,35595.496273,257713113.8517286,0.0
2020-01-04,7345.0,7404.0,7272.21,7354.11,29987.974977,1578182399999.0,219874240.9399481,279370.0,16369.382248,120035111.72407165,0.0
2020-01-05,7354.19,7495.0,7318.0,7358.75,38331.085604,1578268799999.0,284848683.7891762,329209.0,19455.369564,144600094.38965073,0.0
2020-01-06,7357.64,7795.34,7346.76,7758.0,54635.695316,1578355199999.0,413330481.2260492,449937.0,28853.76777,218411610.65942463,0.0
2020-01-07,7758.9,8207.68,7723.71,8145.28,91171.684661,1578441599999.0,724202791.1429626,685315.0,46192.111549,366866967.6139318,0.0
2020-01-08,8145.92,8455.0,7870.0,8055.98,112622.64264,1578527999999.0,926410232.6045058,830375.0,55071.109514,453284250.4545396,0.0
2020-01-09,8054.72,8055.96,7750.0,7817.76,64239.51983,1578614399999.0,507258250.4748796,478800.0,31645.759221,249899679.33440104,0.0
2020-01-10,7817.74,8199.0,7672.0,8197.02,82406.777448,1578700799999.0,652774220.388437,606101.0,42361.755307,335845385.67483306,0.0
2020-01-11,8198.86,8286.34,8003.16,8020.01,54810.032667,1578787199999.0,445034349.56470203,469131.0,27916.124974,226716001.44288608,0.0
2020-01-12,8020.01,8197.0,7960.0,8184.98,38131.494336,1578873599999.0,309351920.45885,350662.0,19718.541096,159972663.9929187,0.0
2020-01-13,8184.97,8196.0,8055.89,8110.34,31159.755683,1578959999999.0,252656965.35815012,289144.0,15215.226501,123407351.91807935,0.0
2020-01-14,8110.34,8880.0,8105.54,8810.01,120399.126742,1579046399999.0,1032735180.8658738,915328.0,62492.096676,536081638.0541857,0.0
2020-01-15,8814.64,8916.48,8564.0,8821.41,84816.297606,1579132799999.0,743712237.2790816,764048.0,42493.551026,372770745.1792992,0.0
2020-01-16,8820.01,8859.81,8586.0,8720.01,51991.074284,1579219199999.0,451752380.2810811,543064.0,25996.30135,225914888.37777233,0.0
2020-01-17,8720.15,9041.65,8672.44,8913.28,70897.737377,1579305599999.0,629568740.707009,676403.0,36139.808845,320997160.95891666,0.0
2020-01-18,8913.27,8988.88,8806.38,8915.96,38294.746545,1579391999999.0,340852837.9160803,458182.0,19421.295313,172895403.23974317,0.0
2020-01-19,8915.09,9198.98,8466.0,8701.7,70676.889259,1579478399999.0,623950864.2762928,615665.0,33655.943241,297282818.0931591,0.0
2020-01-20,8701.72,8746.99,8521.28,8642.35,38896.639746,1579564799999.0,336447837.0018059,385006.0,19453.863782,168293007.48754647,0.0
2020-01-21,8642.35,8789.0,8488.0,8736.03,36494.687659,1579651199999.0,316056704.984738,365621.0,18731.871637,162303157.94279355,0.0
2020-01-22,8736.04,8818.0,8590.0,8682.36,29080.557138,1579737599999.0,252638888.2149255,317424.0,14477.157512,125794389.99554266,0.0
2020-01-23,8682.77,8691.81,8306.39,8404.52,48165.944597,1579823999999.0,407428808.675337,464805.0,23287.712444,196965082.0404137,0.0
2020-01-24,8404.52,8528.02,8238.0,8439.0,41687.529529,1579910399999.0,349874174.79003936,407271.0,21293.489586,178752179.11477745,0.0
2020-01-25,8438.99,8451.26,8254.9,8340.58,25521.157932,1579996799999.0,212869245.6358978,283118.0,13076.752786,109098245.22427255,0.0
2020-01-26,8340.01,8618.13,8293.66,8615.0,31130.485164,1580083199999.0,263941925.272999,332612.0,15797.911267,133936210.1435635,0.0
2020-01-27,8614.39,9000.0,8535.0,8907.57,53973.542996,1580169599999.0,473194952.8044688,514196.0,28592.326521,250794158.80919072,0.0
2020-01-28,8907.57,9400.0,8862.4,9374.21,74584.853765,1580255999999.0,676593159.4823396,616678.0,38852.363246,352558461.2153821,0.0
2020-01-29,9375.34,9449.24,9216.0,9301.53,53864.065122,1580342399999.0,503188568.83635783,492545.0,26615.651329,248688826.41119042,0.0
2020-01-30,9301.57,9578.0,9204.44,9513.21,60626.744259,1580428799999.0,569652869.8196837,529570.0,30852.55545,290043577.4392868,0.0
2020-01-31,9511.52,9530.22,9210.01,9352.89,45552.022352,1580515199999.0,425779010.40653664,428547.0,22482.470899,210150300.2222744,0.0
2020-02-01,9351.71,9464.53,9281.0,9384.61,28578.067354,1580601599999.0,268137739.9933375,334972.0,14679.126305,137764121.89168733,0.0
2020-02-02,9384.41,9477.03,9120.0,9331.51,45690.91254,1580687999999.0,428064088.6904683,446558.0,22588.40606,211808205.79156947,0.0
2020-02-03,9331.59,9618.79,9234.0,9292.24,50892.133451,1580774399999.0,476379993.4924724,492124.0,24781.397696,232065946.53854197,0.0
